timestamp,username,source_ip,event_type,status
2026-05-10T08:00:00,alice,192.168.1.10,login,success
2026-05-10T08:02:00,bob,192.168.1.20,login,failed
2026-05-10T08:03:00,bob,192.168.1.20,login,failed
2026-05-10T08:04:00,bob,192.168.1.20,login,failed
2026-05-10T08:05:00,bob,192.168.1.20,login,failed
2026-05-10T08:06:00,bob,192.168.1.20,login,failed
2026-05-10T08:07:00,bob,192.168.1.20,login,success
2026-05-10T08:10:00,carol,172.16.0.55,login,failed
2026-05-10T08:11:00,carol,172.16.0.55,login,failed
2026-05-10T08:12:00,carol,172.16.0.55,login,failed
2026-05-10T08:13:00,carol,172.16.0.55,login,failed
2026-05-10T08:14:00,carol,172.16.0.55,login,failed
2026-05-10T08:15:00,dave,10.0.0.8,login,success
2026-05-10T08:16:00,erin,10.0.0.8,login,success
2026-05-10T08:17:00,frank,10.0.0.8,login,failed
2026-05-10T08:18:00,grace,10.0.0.8,login,failed
2026-05-10T08:19:00,heidi,10.0.0.8,login,success
2026-05-10T08:20:00,ivan,10.0.0.8,login,failed
2026-05-10T08:21:00,judy,10.0.0.8,login,success
