timestamp,username,source_ip,event_type,status
2026-05-10T08:07:48,judy,192.168.1.23,login,success
2026-05-10T08:08:57,mallory,192.168.1.16,login,success
2026-05-10T08:10:11,oscar,192.168.1.32,login,success
2026-05-10T08:11:35,dave,203.0.113.5,login,failed
2026-05-10T08:11:40,dave,203.0.113.5,login,failed
2026-05-10T08:11:44,dave,203.0.113.5,login,failed
2026-05-10T08:11:50,dave,203.0.113.5,login,failed
2026-05-10T08:11:54,dave,203.0.113.5,login,failed
2026-05-10T08:11:55,dave,203.0.113.5,login,failed
2026-05-10T08:12:01,dave,203.0.113.5,login,failed
2026-05-10T08:12:06,dave,203.0.113.5,login,failed
2026-05-10T08:12:11,dave,203.0.113.5,login,failed
2026-05-10T08:12:15,dave,203.0.113.5,login,failed
2026-05-10T08:12:19,dave,203.0.113.5,login,failed
2026-05-10T08:12:20,dave,203.0.113.5,login,failed
2026-05-10T08:12:24,dave,203.0.113.5,login,failed
2026-05-10T08:12:30,dave,203.0.113.5,login,failed
2026-05-10T08:12:33,dave,203.0.113.5,login,success
2026-05-10T08:15:28,bob,192.168.1.35,login,success
2026-05-10T08:20:09,carol,192.168.1.37,login,success
2026-05-10T08:23:33,victor,192.168.1.16,login,success
2026-05-10T08:24:22,peggy,192.168.1.26,login,success
2026-05-10T08:28:59,bob,192.168.1.26,login,failed
2026-05-10T08:33:28,peggy,192.168.1.11,login,failed
2026-05-10T08:35:31,erin,45.83.12.9,login,failed
2026-05-10T08:35:36,erin,45.83.12.9,login,failed
2026-05-10T08:35:41,erin,45.83.12.9,login,failed
2026-05-10T08:35:42,erin,45.83.12.9,login,failed
2026-05-10T08:35:44,erin,45.83.12.9,login,failed
2026-05-10T08:35:46,erin,45.83.12.9,login,failed
2026-05-10T08:35:51,erin,45.83.12.9,login,failed
2026-05-10T08:35:57,erin,45.83.12.9,login,failed
2026-05-10T08:36:03,peggy,192.168.1.18,login,success
2026-05-10T08:36:03,erin,45.83.12.9,login,failed
2026-05-10T08:36:10,erin,45.83.12.9,login,failed
2026-05-10T08:36:16,erin,45.83.12.9,login,failed
2026-05-10T08:36:21,erin,45.83.12.9,login,success
2026-05-10T08:37:36,peggy,192.168.1.18,login,success
2026-05-10T08:40:34,judy,192.168.1.13,login,success
2026-05-10T08:44:02,mallory,192.168.1.20,login,success
2026-05-10T08:46:17,victor,192.168.1.29,login,success
2026-05-10T08:48:40,trent,192.168.1.30,login,success
2026-05-10T08:50:39,peggy,192.168.1.19,login,failed
2026-05-10T08:51:15,dave,192.168.1.17,login,success
2026-05-10T08:51:56,ivan,192.168.1.21,login,success
2026-05-10T08:52:35,bob,192.168.1.12,login,success
2026-05-10T08:56:31,frank,192.168.1.24,login,failed
2026-05-10T08:56:42,peggy,192.168.1.38,login,success
2026-05-10T08:59:39,grace,192.168.1.31,login,success
2026-05-10T09:00:05,judy,192.168.1.18,login,success
2026-05-10T09:01:32,victor,192.168.1.14,login,success
2026-05-10T09:02:08,carol,192.168.1.32,login,success
2026-05-10T09:06:39,grace,192.168.1.14,login,success
2026-05-10T09:09:04,frank,192.168.1.39,login,success
2026-05-10T09:09:10,dave,192.168.1.39,login,success
2026-05-10T09:09:38,erin,198.51.100.44,login,failed
2026-05-10T09:09:49,mallory,198.51.100.44,login,failed
2026-05-10T09:09:57,mallory,198.51.100.44,login,failed
2026-05-10T09:10:04,heidi,198.51.100.44,login,failed
2026-05-10T09:10:13,heidi,198.51.100.44,login,failed
2026-05-10T09:10:21,heidi,198.51.100.44,login,failed
2026-05-10T09:10:35,peggy,198.51.100.44,login,failed
2026-05-10T09:10:39,mallory,192.168.1.28,login,success
2026-05-10T09:10:42,oscar,198.51.100.44,login,failed
2026-05-10T09:11:01,dave,198.51.100.44,login,failed
2026-05-10T09:11:15,dave,198.51.100.44,login,failed
2026-05-10T09:11:33,dave,198.51.100.44,login,failed
2026-05-10T09:11:43,trent,198.51.100.44,login,failed
2026-05-10T09:11:58,trent,198.51.100.44,login,failed
